NU_ANO,CO_UF_ESCOLA,SG_UF_ESCOLA,CO_MUNICIPIO_ESCOLA,NO_MUNICIPIO_ESCOLA,CO_ESCOLA_EDUCACENSO,NO_ESCOLA_EDUCACENSO,TP_DEPENDENCIA_ADM_ESCOLA,TP_LOCALIZACAO_ESCOLA,NU_MATRICULAS,NU_PARTICIPANTES_NEC_ESP,NU_PARTICIPANTES,NU_TAXA_PARTICIPACAO,NU_MEDIA_CN,NU_MEDIA_CH,NU_MEDIA_LP,NU_MEDIA_MT,NU_MEDIA_RED,NU_MEDIA_OBJ,NU_MEDIA_TOT,INSE,PC_FORMACAO_DOCENTE,NU_TAXA_PERMANENCIA,NU_TAXA_APROVACAO,NU_TAXA_REPROVACAO,NU_TAXA_ABANDONO,PORTE_ESCOLA
2005,24,RN,2401107,Areia Branca,24000027,EE DESEM SILVERIO SOARES ENS MEDIO,2,1,227,,59,,,,,,,,40.82,,,,67.3,5.6,27.1,Maior que 90 alunos
2006,24,RN,2401107,Areia Branca,24000027,EE DESEM SILVERIO SOARES ENS MEDIO,2,1,202,,44,,,,,,,,39.24,,,,,,,Maior que 90 alunos
2007,24,RN,2401107,Areia Branca,24000027,E. E. DESEMBARGADOR SILVERIO SOARES ENSINO MEDIO,2,1,176,,88,,,,,,,,46.64,,,,69.2,4.6,26.2,Maior que 90 alunos
2008,24,RN,2401107,Areia Branca,24000027,ESCOLA ESTADUAL DESEMBARGADOR SILVERIO SOARES ENSINO MEDIO,2,1,213,,81,,,,,,56.11,32.71,,,,,70.9,0.7,28.4,Maior que 90 alunos
2007,24,RN,2401107,Areia Branca,24000132,EE CONEGO ISMAR FERNANDES DE QUEIROZ,2,1,10,,10,,,,,,,,47.37,,,,77.8,11.1,11.1,De 1 a 30 alunos
2005,24,RN,2401107,Areia Branca,24000140,EE CONSELHEIRO BRITO GUERRA 1 GRAU,2,1,77,,13,,,,,,,,34.11,,,,68.7,5.5,25.8,De 61 a 90 alunos
2007,24,RN,2401107,Areia Branca,24000140,EE CONSELHEIRO BRITO GUERRA 1 GRAU,2,1,88,,24,,,,,,,,43.91,,,,66.2,11.8,22.0,De 61 a 90 alunos
2008,24,RN,2401107,Areia Branca,24000140,EE CONSELHEIRO BRITO GUERRA ENSINO FUNDAMENTAL II E MÉDIO,2,1,72,,19,,,,,,48.33,30.16,,,,,72.2,4.8,23.0,De 61 a 90 alunos
2005,24,RN,2401107,Areia Branca,24000493,INST DANTAS MONTEIRO ENS 1 E 2 GRAUS,4,1,60,,23,,,,,,,,47.85,,,,98.9,1.1,0.0,De 31 a 60 alunos
2006,24,RN,2401107,Areia Branca,24000493,INST DANTAS MONTEIRO ENS 1 E 2 GRAUS,4,1,44,,21,,,,,,,,45.61,,,,,,,De 31 a 60 alunos
2007,24,RN,2401107,Areia Branca,24000493,INST DANTAS MONTEIRO ENS 1 E 2 GRAUS,4,1,54,,27,,,,,,,,51.3,,,,88.9,11.1,0.0,De 31 a 60 alunos
2008,24,RN,2401107,Areia Branca,24000493,INST DANTAS MONTEIRO ENS 1 E 2 GRAUS,4,1,44,,24,,,,,,58.23,40.08,,,,,97.6,1.6,0.8,De 31 a 60 alunos
2005,24,RN,2401453,Baraúna,24000647,EE JOAO DE ABREU ENS DE 1 E 2 GRAUS,2,1,167,,35,,,,,,,,41.28,,,,63.1,0.7,36.2,Maior que 90 alunos
2006,24,RN,2401453,Baraúna,24000647,EE JOAO DE ABREU ENS DE 1 E 2 GRAUS,2,1,205,,81,,,,,,,,34.77,,,,,,,Maior que 90 alunos
2007,24,RN,2401453,Baraúna,24000647,EE JOAO DE ABREU ENS DE 1 E 2 GRAUS,2,1,268,,95,,,,,,,,42.55,,,,69.1,7.8,23.1,Maior que 90 alunos
2008,24,RN,2401453,Baraúna,24000647,ESCOLA ESTADUAL JOAO DE ABREU ENS FUNDAMENTAL E MÉDIO,2,1,229,,91,,,,,,55.92,33.35,,,,,60.9,16.0,23.1,Maior que 90 alunos
2005,24,RN,2404408,Grossos,24000957,EE CEL SOLON ENS 1 E 2 GRAUS,2,1,83,,18,,,,,,,,43.86,,,,75.5,1.2,23.3,De 61 a 90 alunos
2006,24,RN,2404408,Grossos,24000957,EE CEL SOLON ENS 1 E 2 GRAUS,2,1,95,,33,,,,,,,,37.83,,,,,,,Maior que 90 alunos
2007,24,RN,2404408,Grossos,24000957,ESCOLA ESTADUAL CORONEL SOLON - ENSINO FUNDAMENTAL E MÉDIO,2,1,88,,24,,,,,,,,51.17,,,,73.3,6.2,20.5,De 61 a 90 alunos
2008,24,RN,2404408,Grossos,24000957,ESCOLA ESTADUAL CORONEL SOLON - ENSINO FUNDAMENTAL E MÉDIO,2,1,115,,29,,,,,,59.1,34.37,,,,,61.6,4.5,33.9,Maior que 90 alunos
2005,24,RN,2411056,Tibau,24001090,EE RUI BARBOSA ENS DE 1 GRAU,2,1,61,,29,,,,,,,,35.44,,,,48.9,7.9,43.2,De 61 a 90 alunos
2006,24,RN,2411056,Tibau,24001090,EE RUI BARBOSA ENS DE 1 GRAU,2,1,50,,19,,,,,,,,34.92,,,,,,,De 31 a 60 alunos
2007,24,RN,2411056,Tibau,24001090,EE RUI BARBOSA ENSINO FUNDAMENTAL E MÉDIO,2,1,35,,18,,,,,,,,48.92,,,,41.6,14.7,43.7,De 31 a 60 alunos
2008,24,RN,2411056,Tibau,24001090,EE RUI BARBOSA ENSINO FUNDAMENTAL E MÉDIO,2,1,44,,21,,,,,,50.48,30.76,,,,,41.1,20.0,38.9,De 31 a 60 alunos
2005,24,RN,2408003,Mossoró,24001155,CE INTEGRADA PROF ELISEU VIANA,2,1,377,,206,,,,,,,,41.14,,,,70.3,10.8,18.9,Maior que 90 alunos
2006,24,RN,2408003,Mossoró,24001155,CE INTEGRADA PROF ELISEU VIANA,2,1,385,,238,,,,,,,,41.91,,,,,,,Maior que 90 alunos
2007,24,RN,2408003,Mossoró,24001155,CE INTEGRADA PROF ELISEU VIANA,2,1,333,,174,,,,,,,,48.65,,,,59.0,19.9,21.1,Maior que 90 alunos
2008,24,RN,2408003,Mossoró,24001155,CE INTEGRADA PROF ELISEU VIANA,2,1,324,,161,,,,,,59.22,33.61,,,,,58.5,24.1,17.4,Maior que 90 alunos
2005,24,RN,2408003,Mossoró,24001180,EE JERONIMO ROSADO,2,1,320,,109,,,,,,,,39.75,,,,58.7,7.2,34.1,Maior que 90 alunos
2006,24,RN,2408003,Mossoró,24001180,EE JERONIMO ROSADO,2,1,239,,90,,,,,,,,37.49,,,,,,,Maior que 90 alunos
2007,24,RN,2408003,Mossoró,24001180,EE JERONIMO ROSADO,2,1,209,,92,,,,,,,,45.8,,,,57.7,4.1,38.2,Maior que 90 alunos
2008,24,RN,2408003,Mossoró,24001180,ESCOLA ESTADUAL JERÔNIMO ROSADO,2,1,134,,39,,,,,,52.89,32.07,,,,,60.6,4.8,34.6,Maior que 90 alunos
2005,24,RN,2408003,Mossoró,24001260,COLEGIO DIOCESANO SANTA LUZIA,4,1,97,,57,,,,,,,,51.91,,,,96.3,3.4,0.3,Maior que 90 alunos
2006,24,RN,2408003,Mossoró,24001260,COLEGIO DIOCESANO SANTA LUZIA,4,1,128,,84,,,,,,,,50.42,,,,,,,Maior que 90 alunos
2007,24,RN,2408003,Mossoró,24001260,COLEGIO DIOCESANO SANTA LUZIA,4,1,122,,59,,,,,,,,62.38,,,,98.5,0.6,0.9,Maior que 90 alunos
2008,24,RN,2408003,Mossoró,24001260,COLEGIO DIOCESANO SANTA LUZIA,4,1,104,,67,,,,,,63.5,45.25,,,,,95.7,3.7,0.6,Maior que 90 alunos
2005,24,RN,2408003,Mossoró,24001279,COLEGIO DOM BOSCO LTDA,4,1,46,,12,,,,,,,,48.19,,,,93.1,6.9,0.0,De 31 a 60 alunos
2006,24,RN,2408003,Mossoró,24001279,COLEGIO DOM BOSCO LTDA,4,1,51,,32,,,,,,,,51.45,,,,,,,De 31 a 60 alunos
2007,24,RN,2408003,Mossoró,24001279,COLEGIO DOM BOSCO LTDA,4,1,49,,18,,,,,,,,56.86,,,,95.4,4.6,0.0,De 31 a 60 alunos
2008,24,RN,2408003,Mossoró,24001279,COLEGIO DOM BOSCO LTDA,4,1,37,,20,,,,,,65.5,37.3,,,,,94.7,4.4,0.9,De 31 a 60 alunos
2006,24,RN,2408003,Mossoró,24001562,EE EDUC PRES KENNEDY ENS 1 E 2 GRAUS,2,1,52,,14,,,,,,,,33.04,,,,,,,De 31 a 60 alunos
